"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L713","IPatientService","femr.business.services.core.IPatientService","L379","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\services\core\IPatientService.java","26","1","62","2","0","0","0","0","0","0","0","0","0","0","0","4","2","5","4","0","4","0.8","0.818182","27","27","4","1","0.818182","27","0","0","1","1","0","6","37","0","0","0","0","4","0","4","0","4","0","0","4","0","6","37","0","0","0","0","4","0","4","0","4","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L737","IPhotoService","femr.business.services.core.IPhotoService","L379","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\services\core\IPhotoService.java","29","1","80","2","0","0","0","0","0","0","0","0","0","0","0","5","4","7","6","0","5","0.833333","0.851064","40","40","5","1","0.851064","40","0","0","1","1","0","7","52","0","0","0","0","5","0","5","0","5","0","0","5","0","7","52","0","0","0","0","5","0","5","0","5","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L778","IResearchService","femr.business.services.core.IResearchService","L379","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\services\core\IResearchService.java","31","1","44","2","0","0","0","0","0","0","0","0","0","0","0","2","3","4","2","0","2","0.666667","0.714286","10","10","2","1","0.714286","10","0","0","1","1","0","4","14","0","0","0","0","2","0","2","0","2","0","0","2","0","4","14","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L800","IRoleService","femr.business.services.core.IRoleService","L379","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\services\core\IRoleService.java","26","1","35","2","0","0","0","0","0","0","0","0","0","0","0","1","1","4","4","0","1","0.5","0.666667","6","6","1","1","0.666667","6","0","0","1","1","0","3","10","0","0","0","0","1","0","1","0","1","0","0","1","0","3","10","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L803","ISearchService","femr.business.services.core.ISearchService","L379","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\services\core\ISearchService.java","25","1","152","2","0","0","0","0","0","0","0","0","0","0","0","14","6","9","22","0","14","0.933333","0.857143","96","96","14","1","0.857143","96","0","0","1","1","0","16","128","0","0","0","0","14","0","14","0","14","0","0","14","0","16","128","0","0","0","0","14","0","14","0","14","0","0","14","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L864","ISessionService","femr.business.services.core.ISessionService","L379","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\services\core\ISessionService.java","24","1","48","2","0","0","0","0","0","0","0","0","0","0","0","3","2","19","47","0","3","0.75","0.772727","17","17","3","1","0.772727","17","0","0","1","1","0","5","25","0","0","0","0","3","0","3","0","3","0","0","3","0","5","25","0","0","0","0","3","0","3","0","3","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L883","ITabService","femr.business.services.core.ITabService","L379","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\services\core\ITabService.java","29","1","186","2","0","0","0","0","0","0","0","0","0","0","0","16","4","7","8","0","16","0.941176","0.87234","123","123","16","1","0.87234","123","0","0","1","1","0","18","158","0","0","0","0","16","0","16","0","16","0","0","16","0","18","158","0","0","0","0","16","0","16","0","16","0","0","16","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L966","IUserService","femr.business.services.core.IUserService","L379","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\services\core\IUserService.java","28","1","128","2","0","0","0","0","0","0","0","0","0","0","0","11","4","8","11","0","11","0.916667","0.855556","77","77","11","1","0.855556","77","0","0","1","1","0","13","101","0","0","0","0","11","0","11","0","11","0","0","11","0","13","101","0","0","0","0","11","0","11","0","11","0","0","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1022","IVitalService","femr.business.services.core.IVitalService","L379","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\services\core\IVitalService.java","28","1","68","2","0","0","0","0","0","0","0","0","0","0","0","4","3","7","8","0","4","0.8","0.837838","31","31","4","1","0.837838","31","0","0","1","1","0","6","41","0","0","0","0","4","0","4","0","4","0","0","4","0","6","41","0","0","0","0","4","0","4","0","4","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2716","ISessionHelper","femr.business.wrappers.sessions.ISessionHelper","L3176","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\wrappers\sessions\ISessionHelper.java","21","1","25","2","0","0","0","0","0","0","0","0","0","0","0","3","0","4","3","0","3","0","0","0","0","0","4","0","0","0","0","1","1","0","5","5","0","1","0","1","3","0","3","0","3","0","0","3","0","5","5","0","1","0","1","3","0","3","0","3","0","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
