"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TAD","TCD","TCLOC","TPDA","TPUA","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\.columbus_java\femr.ljsi","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\.columbus_java\femr.ljsi","0.214274","153","1441","0","0","535","0.099764","0.157468","0","3382","2819","0.0822076","0.187448","0.296462","7550","451","1955","17917","33900","825","332","80","0","257","845","55","2249","8109","18","202","0","55","69","2148","730","0","14","7540","399","578","0","12","211","0","0","0","8","0","130","6","0","4","0","0","5","10","0","0","0","0","0","0","113","22","2","219","79","149","27","0"
"L102","<System>","<System>","0.214274","153","1441","0","0","535","0.099764","0.157468","0","3382","2819","0.0822076","0.187448","0.296462","7550","451","1955","17917","33900","825","332","80","0","257","845","55","2249","8109","18","202","0","55","69","2148","730","0","14","7540","399","578","0","12","211","0","0","0","8","0","130","6","0","4","0","0","5","10","0","0","0","0","0","0","113","22","2","219","79","149","27","0"
