"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L4513","daos","femr.data.daos","L4509","L103","0","0","0","0","0","0","0","0","0","0.349515","36","0","22","0.384615","0.316129","98","15","24","67","129","0","1","0","0","1","20","0","2","20","0","212","373","1","2","16","0","4","0","2","35","71","0","2","0","2","2","35","0","0","0","66","7","8","0","0","0","0","0","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","6","1","2","0","0"
"L5134","models","femr.data.models","L4509","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0276442","0.304892","1290","23","809","0","0","0","0","0","0","0","0","0","2","0","0","2941","5233","211","38","19","0","72","392","34","760","405","6","38","0","34","5","760","355","0","0","1820","2","74","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","0","2","0","0","34","0","0"
"L6608","controllers","femr.ui.controllers","L6607","L103","0.158661","26","116","54","0","0","0","0","0.318182","0.212453","505","21","45","0.336283","0.198716","681","38","75","1872","2928","53","13","0","11","0","74","0","3","54","0","2746","4242","79","22","17","0","20","11","0","116","1570","0","20","0","0","3","94","0","0","1","546","136","101","0","2","33","0","0","0","0","0","41","2","0","2","0","0","0","1","0","0","0","0","0","0","4","1","0","108","0","37","9","0"
"L7985","helpers","femr.ui.helpers","L6607","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0337079","3","0","7","0","0","0","0","0","0","0","0","0","1","0","0","86","116","1","2","15","0","3","1","0","6","32","0","2","0","0","1","4","0","0","0","21","0","3","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8039","models","femr.ui.models","L6607","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0246637","0.282521","632","11","435","0","0","0","0","0","0","0","0","0","9","0","0","1605","2788","206","36","29","0","36","194","0","410","452","2","36","0","0","15","410","202","0","1","989","3","43","0","0","13","0","0","0","8","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","10","2","0","0","1","7","1","0"
"L9020","views","femr.ui.views","L6607","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1","0","0","38","51","0","1","16","0","1","0","0","4","16","0","1","0","0","2","4","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9038","calculations","femr.util.calculations","L9037","L103","0","0","0","0","0","0","0","0","0.83871","0.477778","215","26","5","0.83871","0.477778","215","26","5","235","524","0","2","0","24","0","30","0","0","29","0","235","524","0","2","14","0","2","24","0","30","144","0","2","0","0","0","29","0","0","0","17","5","43","0","0","13","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","1","4","3","0","0"
"L9167","DataStructure","femr.util.DataStructure","L9037","L103","0","0","0","0","0","0","0","0","0.333333","0.607143","34","2","4","0.8","0.552239","222","20","5","22","66","2","1","0","2","0","5","0","1","5","0","180","467","7","4","15","0","4","11","0","21","81","0","4","0","0","1","21","1","0","0","14","2","13","0","3","3","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","1","0","0","0","0"
"L9294","dependencyinjection","femr.util.dependencyinjection","L9037","L103","0.347547","1","1","1","0.0509149","0.125265","64","59","0","0","0","0","0","0.0833333","0.580961","653","6","66","0","0","0","0","0","0","0","0","0","2","0","0","471","1257","0","106","16","0","38","0","0","38","121","0","38","0","0","2","34","0","0","0","697","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"L9779","encryptions","femr.util.encryptions","L9037","L103","0","0","0","0","0","0","0","0","0","0.6","36","0","8","0","0.6","36","0","8","24","69","0","1","0","0","1","6","0","0","6","0","24","69","0","1","14","0","2","0","1","6","4","0","1","0","1","0","6","0","0","0","19","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
