"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L9295","modules","femr.util.dependencyinjection.modules","L9294","L103","0.650985","1","1","1","0","0","0","0","0","0.363208","77","0","4","0","0.363208","77","0","4","135","233","0","72","0","0","0","4","0","0","0","0","135","233","0","72","15","0","4","0","0","4","87","0","4","0","0","0","0","0","0","0","539","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"L9632","providers","femr.util.dependencyinjection.providers","L9294","L103","0","0","0","0","0","0","0","0","0.0882353","0.631579","576","6","62","0.0882353","0.631579","576","6","62","336","1024","0","34","0","0","0","34","0","0","34","0","336","1024","0","34","15","0","34","0","0","34","34","0","34","0","0","0","34","0","0","0","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13328","daos","mock.femr.data.daos","L13327","L103","0","0","0","0","0","0","0","0","0","0.0645161","4","0","11","0","0.0645161","4","0","11","58","83","6","1","0","0","0","10","6","0","10","0","58","83","6","1","15","0","1","0","0","10","15","6","1","0","0","0","10","0","0","0","29","0","6","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L13369","encryptions","mock.femr.util.encryptions","L13368","L103","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","4","23","30","4","1","0","0","0","3","4","0","3","0","23","30","4","1","15","0","1","0","0","3","6","4","1","0","0","0","3","0","0","0","14","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L5464","research","femr.data.models.core.research","L5135","L103","0","0","0","0","0","0","0","0","0","0.404494","36","0","40","0","0.404494","36","0","40","53","133","0","0","0","20","2","38","0","0","38","18","53","133","0","0","16","0","2","20","2","38","0","0","0","0","2","0","38","18","0","0","91","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"L5568","concepts","femr.data.models.mysql.concepts","L5519","L103","0","0","0","0","0","0","0","0","0.0185185","0.290541","129","1","53","0.0185185","0.290541","129","1","53","315","521","25","7","0","25","0","47","0","0","47","21","315","521","25","7","16","0","7","25","0","47","46","0","7","0","0","0","47","21","0","0","114","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0"
"L6263","research","femr.data.models.mysql.research","L5519","L103","0","0","0","0","0","0","0","0","0","0.157143","44","0","40","0","0.157143","44","0","40","236","339","20","2","0","20","0","38","0","0","38","18","236","339","20","2","16","0","2","20","0","38","42","0","2","0","0","0","38","18","0","0","95","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0"
"L8041","configure","femr.ui.models.admin.configure","L8040","L103","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","8","29","41","2","2","0","2","0","6","0","0","6","3","29","41","2","2","16","0","2","2","0","6","6","0","2","0","0","0","6","3","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8065","inventory","femr.ui.models.admin.inventory","L8040","L103","0","0","0","0","0","0","0","0","0","0.337423","55","0","27","0","0.337423","55","0","27","108","202","12","2","0","12","0","25","0","0","25","12","108","202","12","2","16","0","2","12","0","25","32","0","2","0","0","0","25","12","0","0","57","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8125","trips","femr.ui.models.admin.trips","L8040","L103","0","0","0","0","0","0","0","0","0","0.193237","40","0","46","0","0.193237","40","0","46","167","268","21","4","0","21","0","42","0","0","42","21","167","268","21","4","16","0","4","21","0","42","42","0","4","0","0","0","42","21","0","0","104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8220","users","femr.ui.models.admin.users","L8040","L103","0","0","0","0","0","0","0","0","0","0.202614","62","0","60","0","0.202614","62","0","60","244","370","26","4","0","28","0","56","0","0","56","26","244","370","26","4","16","0","4","28","0","56","82","0","4","0","0","0","56","26","0","0","134","2","15","0","0","10","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0"
"L8668","json","femr.ui.models.research.json","L8617","L103","0","0","0","0","0","0","0","0","0.0294118","0.23871","37","1","33","0.0294118","0.23871","37","1","33","118","203","15","2","0","13","0","32","0","0","32","13","118","203","15","2","16","0","2","13","0","32","38","0","2","0","0","0","32","13","0","0","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8737","json","femr.ui.models.search.json","L8736","L103","0","0","0","0","0","0","0","0","0.1","0.162791","7","1","9","0.1","0.162791","7","1","9","36","50","8","2","0","0","0","8","0","0","8","8","36","50","8","2","16","0","2","0","0","8","8","0","2","0","0","0","8","8","0","0","20","0","8","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9022","helpers","femr.ui.views.partials.helpers","L9021","L103","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","38","51","0","1","0","0","0","4","0","0","4","0","38","51","0","1","16","0","1","0","0","4","16","0","1","0","0","0","4","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
